,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Minerals,"CA
mg","P
mg","MG
mg","K
mg","NA
mg","FE
mg","MFP_FE
mg","ZN
mg","CU
mg","MN
mg"
Cake (home made),2024-08-12 00:00:00,63.6,7.0,46.7,72.4,0.5,0.0,0.3,0.0,0.2
"Chapati, dry, Indian",8.0,54.0,11.0,53.5,1.0,0.6,0.0,0.4,0.1,0.3
Chapati with oil,2024-09-09 00:00:00,71.3,2024-06-16 00:00:00,70.6,2024-03-01 00:00:00,0.7,0.0,0.4,0.9,0.4
Donut-African,2024-06-07 00:00:00,54.3,11.0,53.8,2024-01-01 00:00:00,0.6,0.0,0.4,0.1,0.3
Maize and kidney bean dish,2024-05-07 00:00:00,88.3,38.7,166.1,74.9,2024-05-01 00:00:00,0.0,0.7,0.1,0.3
Maize and sorgum ugali (stiff porridge),2024-03-29 00:00:00,79.0,45.0,66.7,2024-06-02 00:00:00,2024-03-01 00:00:00,0.0,0.5,0.2,0.7
Maize porirdge with margarine and sugar,0.9,31.6,2024-06-16 00:00:00,37.6,2024-06-04 00:00:00,0.4,0.0,0.2,0.0,0.1
Maize porridge without sugar and milk,2024-05-03 00:00:00,2024-01-24 00:00:00,2024-07-12 00:00:00,2024-07-28 00:00:00,2024-05-03 00:00:00,0.4,0.0,0.2,0.0,0.1
Maize porridge with sugar,2024-07-03 00:00:00,2024-04-24 00:00:00,2024-07-12 00:00:00,29.0,2024-07-03 00:00:00,0.4,0.0,0.2,0.0,0.1
Maize porridge with sugar and egg,43.2,99.9,2024-02-18 00:00:00,98.8,55.9,0.7,0.0,0.6,0.0,0.1
Maize porridge with sugar and milk,61.2,70.4,2024-02-18 00:00:00,99.0,31.2,0.4,0.0,0.4,0.0,0.1
Maize ugali (stff porridge),2.0,81.2,43.4,98.1,2024-09-11 00:00:00,2024-02-01 00:00:00,0.0,0.6,0.1,0.2
Millet prridge with sugar,2024-07-27 00:00:00,2024-06-28 00:00:00,2024-07-02 00:00:00,41.1,2024-03-01 00:00:00,0.3,0.0,0.1,0.1,0.6
Mix flour porridge with sugar,32.5,52.4,2024-09-12 00:00:00,80.2,2.0,0.5,0.0,0.3,0.1,0.6
Pancake,2024-02-20 00:00:00,106.4,2024-07-16 00:00:00,96.6,155.2,1.0,0.0,0.7,0.1,0.4
Rice biriyani,2024-09-22 00:00:00,92.9,2024-02-19 00:00:00,179.6,346.3,0.7,0.4,0.8,0.1,0.3
Rice boiled without Oil,2024-06-03 00:00:00,46.9,2024-02-16 00:00:00,36.5,0.0,0.2,0.0,0.5,0.1,0.5
Rice boiled with Oil,2024-01-04 00:00:00,47.8,2024-06-18 00:00:00,41.7,0.0,0.3,0.0,0.5,0.1,0.5
